,0
0,315.02
1,615.0179999999999
2,975.012
3,975.012
4,1125.011
5,1125.011
6,1225.01
7,1125.011
8,1175.011
9,1225.01
10,1225.01
11,1030.011
12,1175.0109999999997
13,1175.0109999999997
14,1075.012
15,930.012
16,785.0119999999998
17,740.01
18,690.011
19,400.011
20,400.011
21,409.01000000000005
22,409.01000000000005
23,563.009
24,563.009
25,563.009
26,708.0089999999999
27,563.0089999999999
28,463.01000000000005
29,463.01000000000005
30,463.01000000000005
31,513.009
32,649.01
33,504.01000000000005
34,504.01000000000005
35,649.0099999999999
36,649.01
37,889.0109999999999
38,1025.012
39,1315.012
40,1165.013
41,1210.0130000000001
42,1220.011
43,1270.01
44,1270.01
45,1125.0099999999998
46,980.0099999999998
47,930.0120000000001
48,880.012
49,735.012
50,735.0120000000001
51,885.0120000000001
52,790.0110000000001
53,640.0120000000001
54,640.0120000000001
55,640.0120000000001
56,640.0120000000001
57,540.014
58,740.0120000000001
59,740.0120000000001
60,790.0110000000001
61,790.0110000000001
62,1080.011
63,1030.012
64,1030.012
65,1089.0099999999998
66,1089.0099999999998
67,944.0099999999999
68,944.0099999999999
69,944.0099999999999
70,944.0099999999999
71,944.0099999999999
72,944.0100000000001
73,1039.011
74,989.013
75,1039.013
76,1139.013
77,1429.013
78,1420.014
79,1420.014
80,1325.013
81,1425.0129999999997
82,1035.014
83,840.0139999999999
84,940.0129999999999
85,990.0129999999999
86,990.0129999999999
87,1040.014
88,1040.014
89,1185.014
90,1194.0129999999997
91,1149.012
92,1294.0129999999997
93,1194.0149999999999
94,1289.0149999999999
95,1189.0149999999999
96,1189.0149999999999
97,1239.014
98,1239.014
99,1085.0149999999999
100,1235.014
101,990.0149999999999
102,1144.0149999999999
103,1339.014
104,1244.0129999999997
105,1244.0129999999997
106,1194.0139999999997
107,1339.0139999999997
108,1339.0139999999997
109,1389.0129999999997
110,1194.014
111,1339.014
112,1049.014
113,904.014
114,1013.012
115,972.012
116,822.0129999999999
117,677.0129999999999
118,727.013
119,922.013
120,922.014
121,1067.014
122,1262.013
123,1407.013
124,1552.013
125,1552.013
126,1552.013
127,1552.013
128,1552.013
129,1407.013
130,1797.0119999999997
131,1643.0129999999997
132,1729.014
133,1729.0149999999996
134,1584.0149999999996
135,1584.0149999999996
136,1579.0159999999998
137,1593.014
138,1543.0149999999996
139,1543.0149999999996
140,1203.0149999999999
141,1203.0149999999999
142,913.0149999999999
143,913.0149999999999
144,863.0169999999998
145,913.0159999999998
146,863.0169999999999
147,718.0169999999999
148,768.0159999999998
149,759.0169999999998
150,759.0169999999998
151,763.0169999999999
152,1008.0169999999999
153,1108.017
154,1158.016
155,1158.016
156,1158.016
157,1303.0159999999998
158,1303.0159999999998
159,1158.0159999999998
160,1303.0159999999998
161,1203.0179999999998
162,1543.0169999999996
163,1543.0169999999996
164,1543.0169999999996
165,1543.0169999999996
166,1543.0169999999996
167,1733.0179999999998
168,1751.0169999999998
169,1896.0169999999998
170,1801.0169999999998
171,1656.0169999999998
172,1271.0159999999996
173,1348.0139999999997
174,1357.013
175,1212.013
176,1207.014
177,917.014
178,872.0139999999999
179,1017.0139999999999
180,1017.014
181,1067.013
182,1203.014
183,1203.014
184,1203.014
185,1348.014
186,1198.0159999999998
187,1148.017
188,1248.0149999999996
189,1058.014
190,1212.013
191,1212.013
192,1502.013
193,1502.013
194,1452.0139999999997
195,1647.013
196,1597.013
197,1742.013
198,1887.013
199,1737.0139999999997
200,1742.013
201,1742.013
202,1434.014
203,1334.0159999999998
204,1434.0149999999996
205,1239.0149999999999
206,1239.0159999999998
207,899.0169999999999
208,804.016
209,1144.0149999999999
210,999.015
211,949.016
212,1194.0149999999996
213,1339.0149999999996
214,1239.0159999999996
215,1357.0169999999996
216,1357.0169999999996
217,1357.0169999999996
218,1357.0169999999996
219,1107.019
220,1157.019
221,1157.019
222,1547.0179999999998
223,1402.0179999999998
224,1257.0179999999998
225,1307.0169999999998
226,1307.0169999999998
227,1452.0169999999998
228,1452.0169999999998
229,1402.0179999999996
230,1248.0189999999996
231,1248.0189999999996
232,958.0189999999998
233,958.0189999999998
234,1008.0189999999998
235,822.0189999999999
236,817.02
237,527.02
238,627.0189999999999
239,772.0189999999999
240,927.0179999999999
241,827.019
242,1122.018
243,1267.0179999999998
244,1607.0169999999996
245,1802.0159999999998
246,1652.0169999999998
247,1802.0159999999998
248,1602.0179999999998
249,1607.0169999999996
250,1457.0179999999998
251,1462.0169999999996
252,1607.0169999999996
253,1317.0169999999996
254,1367.0159999999998
255,1512.0159999999998
256,1562.0169999999996
257,1707.0169999999996
258,1882.0149999999999
259,1832.0169999999998
260,1832.0179999999996
261,1732.0189999999998
262,1637.0189999999998
263,1482.0199999999995
264,1532.0199999999995
265,1292.0189999999998
266,1287.0199999999998
267,1110.0189999999998
268,1115.0179999999998
269,1440.0169999999998
270,1431.0179999999998
271,1431.0179999999998
272,1576.0179999999998
273,1626.0169999999996
274,1608.0179999999998
275,1703.0179999999996
276,1558.0179999999996
277,1703.0179999999996
278,1653.0189999999996
279,1508.0189999999996
280,1549.0179999999998
281,1295.0199999999998
282,1490.0199999999998
283,1635.0199999999998
284,1485.0209999999997
285,1580.0219999999997
286,1435.0219999999997
287,1240.0229999999997
