,0
0,1005.021
1,1060.019
2,1110.018
3,1410.0159999999998
4,1415.0149999999999
5,1515.014
6,1565.013
7,1515.014
8,1565.013
9,1565.013
10,1275.013
11,1175.014
12,1170.0149999999999
13,1220.014
14,975.0159999999998
15,1075.014
16,1075.014
17,935.0129999999999
18,885.0139999999999
19,690.0149999999999
20,885.0149999999999
21,1098.013
22,1098.014
23,1098.014
24,903.0149999999999
25,903.0149999999999
26,708.015
27,867.012
28,1017.0099999999999
29,917.0109999999999
30,767.0129999999999
31,627.012
32,636.011
33,636.011
34,944.0099999999999
35,1044.011
36,939.0129999999999
37,1229.013
38,1179.013
39,1320.013
40,1170.014
41,1424.013
42,1610.013
43,1610.013
44,1460.0139999999997
45,1465.013
46,1515.0119999999997
47,1320.013
48,1415.014
49,1270.014
50,1270.0149999999999
51,1320.0149999999999
52,1370.0149999999999
53,1370.0149999999999
54,1225.0149999999999
55,1216.0149999999999
56,1216.0149999999999
57,1130.013
58,1130.014
59,1121.0149999999999
60,1071.0159999999998
61,1221.014
62,1126.014
63,1126.014
64,976.0169999999998
65,1221.0169999999998
66,1216.0179999999998
67,1316.0169999999998
68,1416.0159999999998
69,1416.0159999999998
70,1416.017
71,1416.017
72,1561.017
73,1461.0189999999998
74,1593.019
75,1298.0199999999998
76,1339.0199999999998
77,1339.0199999999998
78,1194.0199999999998
79,1484.0199999999998
80,1484.021
81,1534.02
82,1729.0189999999998
83,1679.0199999999998
84,1729.0199999999998
85,1679.0199999999998
86,1779.0189999999996
87,1634.0189999999996
88,1534.021
89,1584.02
90,1389.021
91,1489.0189999999998
92,1244.02
93,1344.0189999999998
94,1344.0189999999998
95,1389.0199999999998
96,1389.0209999999997
97,1444.0179999999998
98,1444.0179999999998
99,1344.0189999999998
100,1344.0189999999998
101,1344.019
102,1480.02
103,1430.021
104,1285.021
105,1140.021
106,1240.019
107,1240.019
108,1240.019
109,1244.019
110,1539.018
111,1539.018
112,1634.0199999999998
113,1584.021
114,1634.0199999999998
115,1634.0199999999998
116,1779.0199999999998
117,1779.02
118,1779.02
119,1729.021
120,1489.02
121,1489.02
122,1344.021
123,1371.02
124,1371.021
125,1516.021
126,1316.023
127,1121.0230000000001
128,1180.021
129,1198.021
130,1198.021
131,1343.021
132,1593.0189999999998
133,1643.0189999999998
134,1471.0209999999997
135,1326.0209999999997
136,1181.0209999999997
137,1181.0209999999997
138,1190.0199999999998
139,1235.0219999999997
140,1575.0209999999997
141,1475.023
142,1720.0219999999997
143,1702.0229999999997
144,1729.0239999999997
145,1738.0229999999997
146,1883.0229999999997
147,1883.0229999999997
148,1892.0219999999997
149,1892.0219999999997
150,1609.0209999999997
151,1464.0209999999997
152,1319.0209999999997
153,1369.022
154,1223.023
155,1368.0229999999997
156,1518.022
157,1661.022
158,1661.022
159,1806.022
160,1806.022
161,1892.0229999999997
162,2087.023
163,2078.0239999999994
164,1883.0249999999999
165,1711.0259999999996
166,1575.0249999999999
167,1625.0249999999999
168,1616.0269999999998
169,1480.0259999999996
170,1634.0249999999999
171,1734.023
172,1888.0239999999997
173,1888.0239999999997
174,1779.0259999999996
175,1779.0259999999996
176,1874.0269999999996
177,1829.0259999999998
178,1829.0259999999998
179,1784.0249999999999
180,1784.0249999999999
181,1630.0259999999998
182,1512.0249999999996
183,1512.0249999999996
184,1512.0249999999996
185,1362.0259999999998
186,1362.0259999999998
187,1462.0249999999999
188,1312.0259999999996
189,1457.0259999999998
190,1462.0249999999999
191,1620.0249999999999
192,1615.0269999999998
193,1620.0259999999998
194,1670.0249999999999
195,1720.0239999999997
196,1575.0239999999997
197,1575.0239999999997
198,1575.0239999999997
199,1575.0239999999997
200,1575.0239999999997
201,1575.0239999999997
202,1720.0239999999997
203,1661.0249999999996
204,1711.0249999999996
205,2001.0249999999996
206,2150.0249999999996
207,2005.0249999999996
208,2323.0249999999996
209,2178.0249999999996
210,2128.026
211,1983.0259999999998
212,1883.0279999999998
213,1915.0279999999998
214,1865.0279999999998
215,1720.0279999999998
216,1575.0279999999998
217,1557.0289999999995
218,1516.0299999999997
219,1371.0299999999997
220,1421.029
221,1466.0299999999997
222,1416.0299999999997
223,1271.0299999999997
224,1171.031
225,1180.03
226,1085.03
227,1135.03
228,1144.028
229,1289.028
230,1239.029
231,1239.029
232,1339.0279999999998
233,1339.0279999999998
234,1339.0279999999998
235,1475.029
236,1774.0279999999998
237,1611.0289999999998
238,1856.0289999999998
239,1856.0289999999998
240,1806.0299999999997
241,1611.0309999999997
242,1756.0309999999997
243,1806.0309999999997
244,1806.0309999999997
245,1516.0309999999997
246,1461.0289999999998
247,1461.0289999999998
248,1361.03
249,1361.03
250,1370.0289999999998
251,1515.0289999999998
252,1561.0269999999998
253,1407.0279999999998
254,1407.0279999999996
255,1407.0279999999996
256,1212.029
257,1435.027
258,1280.03
259,1665.0269999999996
260,1810.027
261,1665.027
262,1665.027
263,1815.0259999999998
264,1815.0259999999998
265,1815.0259999999998
266,1920.0269999999998
267,1625.029
268,1625.029
269,1580.0279999999998
270,1580.0279999999998
271,1385.0299999999997
272,1435.0299999999997
273,1485.0289999999995
274,1476.0299999999997
275,1313.0299999999997
276,1358.0299999999997
277,1358.0299999999997
278,1453.0299999999997
279,1453.0299999999997
280,1453.0299999999997
281,1530.032
282,1693.0299999999997
283,1498.031
284,1548.0299999999997
285,1548.0299999999997
286,1403.0299999999997
287,1403.0299999999997
288,1598.029
289,1743.0289999999998
290,1838.0299999999997
291,1693.029
292,1725.0279999999998
293,1725.0279999999998
294,1725.0279999999998
295,1775.0279999999998
296,1860.0289999999998
297,1656.0299999999997
298,1511.0299999999997
299,1316.0309999999997
300,1461.0309999999997
301,1307.0309999999997
302,1307.0299999999997
303,1357.0289999999995
304,1307.0299999999997
305,1162.0299999999997
306,1307.0299999999997
307,1357.0289999999998
308,1502.0289999999998
309,1502.0289999999998
310,1502.0289999999998
311,1697.0289999999998
312,1892.0279999999998
313,1770.0279999999998
314,1625.0279999999996
315,1625.0279999999996
316,1480.0279999999998
317,1530.0269999999996
318,1530.0269999999996
319,1725.0259999999996
320,1820.0259999999996
321,1675.0259999999996
322,1675.0259999999996
323,1675.0259999999996
324,1770.0249999999996
325,1770.0259999999996
326,1915.0259999999996
327,1770.0259999999996
328,1761.0269999999996
329,1652.0249999999996
330,1552.0259999999996
331,1407.0259999999996
332,1475.0259999999998
333,1375.0289999999998
334,1280.0279999999998
335,1085.0279999999998
336,1230.0289999999998
337,1230.0289999999998
338,1375.0289999999998
339,1375.0319999999997
340,1443.0319999999997
341,1656.0329999999994
342,1651.0349999999994
343,1506.0349999999994
344,1424.0349999999996
345,1406.0369999999994
346,1320.0349999999999
347,1320.0349999999999
348,1370.0339999999999
349,1565.0339999999994
