,0
0,915.0179999999999
1,1070.0159999999998
2,1034.014
3,1184.013
4,1243.012
5,1193.013
6,1243.012
7,1293.012
8,1293.012
9,1293.012
10,1003.012
11,1003.012
12,1003.012
13,849.0129999999999
14,849.0129999999999
15,799.014
16,654.014
17,654.014
18,654.014
19,509.01500000000004
20,509.016
21,604.0169999999999
22,654.016
23,654.016
24,858.015
25,808.016
26,858.0160000000001
27,858.0160000000001
28,858.0160000000001
29,1003.0160000000001
30,903.018
31,758.018
32,853.017
33,1193.0169999999998
34,1248.0149999999999
35,1248.0149999999999
36,1234.0169999999998
37,1234.0179999999998
38,1375.0189999999998
39,1520.0189999999998
40,1520.0189999999998
41,1520.0189999999998
42,1425.0179999999998
43,1425.0179999999998
44,1380.0169999999998
45,1380.0169999999998
46,1380.017
47,1235.017
48,1235.017
49,945.017
50,1085.019
51,1230.0189999999998
52,1230.0189999999998
53,1148.02
54,1343.0189999999998
55,1203.0179999999998
56,1117.0169999999998
57,1212.0179999999998
58,1212.019
59,1452.02
60,1307.02
61,1307.0199999999998
62,1302.021
63,1452.02
64,1457.0189999999998
65,1457.0189999999998
66,1466.0179999999998
67,1656.019
68,1656.019
69,1711.0169999999998
70,1511.0199999999998
71,1366.02
72,1525.0179999999998
73,1525.0179999999998
74,1525.0179999999998
75,1670.0179999999998
76,1615.0199999999998
77,1515.0199999999998
78,1520.019
79,1230.019
80,1280.018
81,1280.018
82,1230.019
83,1262.019
84,1162.022
85,1067.022
86,922.022
87,632.022
88,777.022
89,1058.0230000000001
90,1049.024
91,1189.0249999999999
92,1180.0259999999998
93,1230.0279999999998
94,1230.0279999999998
95,1280.0279999999998
96,1339.0259999999998
97,1434.0269999999998
98,1434.0269999999998
99,1434.0269999999998
100,1534.0249999999999
101,1244.0249999999999
102,1584.0249999999999
103,1593.024
104,1593.024
105,1593.024
106,1593.024
107,1543.0239999999997
108,1543.0239999999997
109,1253.0239999999997
110,1303.023
111,1321.0219999999997
112,1176.022
113,1176.022
114,1226.0209999999997
115,1221.0219999999997
116,1221.0219999999997
117,936.021
118,936.021
119,1126.022
120,1126.022
121,1466.021
122,1461.022
123,1566.021
124,1566.021
125,1371.021
126,1380.0199999999998
127,1325.023
128,1325.0249999999999
129,1332.024
130,1455.0249999999999
131,1310.0249999999999
132,1505.0249999999999
133,1555.0239999999997
134,1555.0239999999997
135,1700.0239999999997
136,1700.0239999999997
137,1786.0259999999998
138,1836.0259999999998
139,1401.0259999999998
140,1401.0259999999998
141,1401.0259999999998
142,1342.0289999999998
143,1435.0299999999997
144,1385.0299999999997
145,1435.0309999999997
146,1725.0309999999997
147,1435.0309999999997
148,1349.0289999999995
149,1639.0289999999995
150,1544.0289999999995
151,1689.0289999999995
152,1689.0289999999995
153,1639.0289999999998
154,1589.0299999999997
155,1539.031
156,1249.0319999999997
157,1258.0309999999997
158,1276.0299999999997
159,1021.033
160,1171.031
161,1171.031
162,1457.031
163,1457.031
164,1457.031
165,1602.031
166,1652.0299999999997
167,1797.0299999999997
168,1824.0289999999998
169,1484.0299999999997
170,1493.0289999999995
171,1552.0269999999996
172,1357.0269999999996
173,1407.0269999999998
174,1389.0279999999998
175,1389.0279999999998
176,1679.0279999999998
177,1389.0279999999998
178,1534.0279999999998
179,1842.0279999999998
180,1638.0299999999997
181,1588.0299999999997
182,1638.0299999999997
183,1688.0289999999998
184,1688.0289999999998
185,1493.0299999999997
186,1203.03
187,1253.03
188,1090.031
189,1113.029
190,1258.0289999999998
191,1308.0279999999998
192,1453.0279999999998
193,1448.0289999999998
194,1602.0269999999998
195,1602.0269999999998
196,1602.0269999999998
197,1729.0289999999998
198,1720.0299999999997
199,1439.0289999999998
200,1584.0289999999998
201,1584.0289999999998
202,1584.0289999999998
203,1584.0289999999998
204,1430.0299999999997
205,1548.0309999999997
206,1838.0309999999997
207,1489.0319999999997
208,1684.0319999999997
209,1924.0329999999997
210,1788.0319999999997
211,1788.0319999999997
212,1788.0319999999997
213,1745.0309999999997
214,1754.0299999999997
215,1754.0299999999997
216,1464.0299999999997
217,1464.0299999999997
218,1310.0309999999997
219,1310.0309999999997
220,1165.031
221,1165.031
222,1310.0309999999997
223,1165.031
224,1310.0309999999997
225,1310.0309999999997
226,1310.0309999999997
227,1555.0309999999997
228,1555.0309999999997
229,1265.0319999999997
230,1410.0319999999997
231,1469.0309999999997
232,1419.0309999999997
233,1419.0309999999997
234,1324.0319999999997
235,1315.0329999999997
236,1505.0339999999997
237,1215.0339999999997
238,1360.0339999999997
239,1650.0339999999997
240,1845.0339999999997
241,1845.0339999999997
242,1795.0339999999997
243,1958.0329999999997
244,1958.0329999999997
245,1958.0329999999997
246,1777.031
247,1777.031
248,1523.0329999999997
249,1623.032
250,1623.032
251,1623.032
252,1768.032
253,1718.0329999999997
254,1845.0339999999999
255,1700.0339999999999
256,1700.0339999999999
257,1700.0339999999999
258,1700.0339999999999
259,1360.0349999999996
260,1460.0339999999999
261,1460.0339999999999
262,1460.0339999999999
263,1460.0339999999999
264,1170.0339999999999
265,1170.0339999999999
266,1460.0339999999997
267,1184.0329999999997
268,1329.0329999999997
269,1619.0329999999997
270,1510.0349999999999
271,1410.0369999999998
272,1519.0339999999997
273,1528.033
274,1537.0319999999997
275,1682.0319999999997
276,1392.0329999999997
277,1528.0339999999997
278,1383.0339999999997
279,1383.0339999999997
280,1333.0339999999997
281,1342.0329999999997
282,1487.0329999999997
283,1496.0319999999997
284,1786.0319999999997
285,1641.032
286,1641.032
287,1632.0329999999997
288,1682.0329999999997
289,1342.0329999999997
290,1328.0349999999996
291,1237.0349999999999
292,1242.0339999999999
293,1192.0339999999999
294,893.0339999999999
295,748.034
296,1174.0349999999999
297,1029.0349999999999
298,1124.0359999999998
299,1414.0359999999998
300,1595.0369999999996
301,1595.0369999999996
302,1595.0379999999998
303,1595.0379999999998
304,1595.0369999999996
305,1595.0369999999996
306,1305.0369999999998
307,1450.0369999999998
308,1159.038
309,1114.038
310,1259.0379999999998
311,1409.0369999999998
312,1554.037
313,1554.0359999999998
314,1554.0359999999998
315,1409.0359999999998
316,1418.0349999999999
317,1453.032
318,1467.0309999999997
319,1177.031
320,1177.031
321,1218.0319999999997
322,1278.0289999999998
323,1278.0289999999998
324,1278.0289999999998
325,1271.03
326,1461.031
327,1316.031
328,1461.031
329,1751.031
330,1801.0299999999997
331,1851.0299999999997
332,1801.0299999999997
333,1760.0299999999997
334,1810.0289999999998
335,1760.0299999999997
336,1570.029
337,1661.029
338,1516.029
339,1534.0289999999998
340,1384.0309999999997
341,1375.033
342,1425.0319999999997
343,1525.0319999999997
344,1575.0309999999997
345,1593.0299999999997
346,1584.0319999999997
347,1611.031
348,1629.031
349,1339.0319999999997
350,1289.032
351,1136.0349999999999
352,1281.0359999999996
353,1140.0359999999998
354,1140.0359999999998
355,1099.0349999999999
356,1389.0349999999999
357,1303.0339999999999
358,1448.0349999999999
359,1738.0359999999998
360,1738.0369999999996
361,1883.0369999999996
362,1838.0399999999995
363,1870.0379999999996
364,1870.0379999999996
365,1879.0369999999996
366,1648.0359999999996
367,1598.0369999999998
368,1503.0359999999996
369,1548.0349999999999
370,1566.0369999999998
371,1525.0369999999998
372,1552.0359999999996
373,1552.0359999999996
374,1502.0399999999997
375,1339.0409999999997
376,1244.0399999999997
377,1253.0379999999998
378,1253.0379999999998
379,963.0379999999998
380,981.0369999999998
381,981.0369999999998
382,1126.0379999999998
383,1048.0399999999997
384,1075.0379999999998
385,1084.0369999999996
386,1333.0379999999996
387,1283.0339999999997
388,1428.0339999999999
389,1768.0339999999997
390,1881.0329999999994
391,1876.0339999999997
392,1876.0339999999997
393,1876.0339999999997
394,1817.0359999999996
395,1781.0369999999996
396,1432.0389999999998
397,1582.0379999999998
398,1346.0369999999998
399,1346.0359999999998
400,1346.0359999999998
401,1472.0359999999996
402,1558.0339999999997
403,1531.0359999999996
404,1581.0349999999996
405,1626.0339999999997
406,1626.0329999999997
407,1590.0339999999997
408,1599.0319999999997
409,1304.0329999999997
410,1259.0349999999996
411,1118.0339999999997
412,1245.0329999999997
413,1286.0319999999997
414,1272.0329999999997
415,1272.0319999999997
416,1467.0309999999997
417,1322.0309999999997
418,1237.0309999999997
419,1418.0299999999997
420,1273.0299999999997
421,1273.0299999999997
422,1282.0289999999998
423,1282.0289999999998
424,1187.032
425,1196.0309999999997
426,1033.0320000000002
427,983.0330000000001
428,983.0330000000001
429,983.0330000000001
430,1128.0330000000001
431,1128.0320000000002
432,1123.0330000000001
433,1118.0330000000001
434,1513.0299999999997
435,1658.0289999999998
436,1658.0289999999998
437,1672.0269999999998
438,2097.024
439,1707.0249999999999
440,1716.0259999999998
441,1716.0259999999998
442,1811.0259999999998
443,1811.0259999999998
444,1811.0259999999998
445,1911.024
446,1961.0229999999997
447,1696.024
448,1756.023
449,1902.0229999999997
450,1757.0229999999997
451,1657.024
452,1657.024
453,1417.0229999999997
454,1367.024
455,1367.024
456,1512.024
457,1503.0249999999999
458,1494.0259999999998
459,1298.0259999999998
460,1443.0259999999998
461,1452.0249999999996
462,1452.0249999999996
463,1452.0249999999996
464,1647.024
465,1647.024
466,1647.024
467,1511.0229999999997
468,1656.0229999999997
469,1511.0229999999997
470,1511.0229999999997
471,1366.022
472,1511.0219999999997
473,1606.0229999999997
474,1606.0229999999997
475,1606.0229999999997
476,1596.024
477,1301.0249999999999
478,1451.024
479,1741.024
480,1656.0229999999997
481,1776.0219999999997
482,1776.0219999999997
483,1776.0219999999997
484,1776.0219999999997
485,1776.0219999999997
486,1921.0219999999995
487,1921.0219999999995
488,1921.0219999999995
489,1767.0229999999997
490,1907.0239999999997
491,1852.0229999999997
492,1732.024
493,1773.024
494,1773.024
495,1773.0229999999997
496,1723.024
497,1723.024
498,1573.0249999999999
499,1378.0259999999998
500,1378.0259999999998
501,1528.0249999999996
502,1673.0249999999996
503,1723.024
504,1868.024
505,1868.024
506,1868.024
507,1773.0229999999997
508,1723.024
509,1859.0249999999999
510,1564.0249999999999
511,1569.024
512,1569.0229999999997
513,1578.022
514,1528.023
515,1468.024
516,1418.0259999999998
517,1478.0249999999999
518,1469.0259999999998
519,1469.0259999999998
520,1664.0249999999999
521,1673.0239999999997
522,1673.0239999999997
523,1478.0249999999999
524,1333.0249999999999
525,1340.0239999999997
526,1340.0239999999997
527,1340.0239999999997
528,1340.024
529,1195.023
530,1050.023
531,941.0249999999999
532,1070.0269999999998
533,1315.0259999999998
534,1460.0249999999999
535,1478.023
536,1528.022
537,1383.022
538,1478.022
539,1623.022
540,1478.022
541,1478.023
542,1460.024
543,1460.023
544,1378.0229999999997
545,1378.0229999999997
546,1378.0229999999997
547,1378.0229999999997
548,1378.0229999999997
549,1505.024
550,1709.0229999999997
551,1659.024
552,1659.024
553,1514.024
554,1319.024
555,1319.024
556,1363.023
557,1363.023
558,1218.023
559,1073.023
560,1073.022
561,1073.022
562,1218.022
563,1363.022
564,1508.022
565,1508.022
566,1508.022
567,1363.0219999999997
568,1508.0219999999997
569,1358.023
570,1363.022
571,1363.022
572,1363.022
573,1363.022
574,1363.022
575,1363.022
576,1370.0209999999997
577,1370.0209999999997
578,1370.0209999999997
579,1660.0209999999997
580,1865.0199999999998
581,1847.0209999999997
582,1847.0209999999997
583,1702.0209999999997
584,1575.0199999999998
585,1575.0199999999998
586,1575.0199999999998
587,1575.0199999999998
588,1430.0199999999998
589,1140.0199999999998
590,1080.021
591,1062.022
592,1307.0209999999997
593,1452.0209999999997
594,1597.0209999999997
595,1606.0199999999998
596,1606.0199999999998
597,1461.0199999999998
598,1606.0199999999998
599,1606.02
600,1606.02
601,1606.02
602,1606.02
603,1606.02
604,1613.0189999999998
605,1613.0189999999998
606,1613.0189999999998
607,1613.0189999999998
608,1613.0189999999998
609,1903.0189999999998
610,1868.02
611,1868.02
612,1868.0209999999997
613,1723.0209999999997
614,1433.0209999999997
615,1433.0209999999997
616,1433.0209999999997
617,1433.0209999999997
618,1108.022
619,818.0219999999998
620,818.0219999999998
621,818.0219999999998
622,963.0219999999998
623,1108.022
624,1253.022
625,1253.022
626,1313.022
627,1168.022
628,1313.022
629,1458.022
630,1458.022
631,1458.022
632,1500.021
633,1500.021
634,1500.021
635,1500.021
636,1355.021
637,1355.021
638,1355.021
639,1500.0209999999997
640,1500.0209999999997
641,1500.0209999999997
642,1500.021
643,1355.021
644,1210.021
645,1210.021
646,1355.021
647,1365.02
648,1220.02
649,930.02
650,923.021
651,983.02
652,1128.02
653,1418.0199999999998
654,1556.021
655,1556.021
656,1411.021
657,1266.021
658,1351.0219999999997
659,1503.021
660,1603.0209999999995
661,1631.0199999999998
662,1631.0199999999998
663,1631.0199999999998
664,1631.0199999999998
665,1539.0209999999997
666,1389.0219999999997
667,1539.0209999999997
668,1493.021
669,1638.021
670,1628.0219999999997
671,1614.0229999999997
672,1664.023
673,1384.022
674,1239.022
675,1189.022
676,1334.022
677,1334.022
678,1189.022
679,899.0219999999999
680,949.0219999999999
681,1009.021
682,1154.021
683,1444.0219999999997
684,1579.0229999999997
685,1579.0229999999997
686,1579.0229999999997
687,1434.0229999999997
688,1639.0219999999997
689,1812.0209999999997
690,1712.022
691,1712.022
692,1784.0219999999997
693,1834.0209999999997
694,1834.0209999999997
695,1834.0209999999997
696,1689.022
697,1689.022
698,1639.0229999999997
699,1777.024
700,1777.024
701,1777.0249999999996
702,1727.0249999999996
703,1487.024
704,1314.0249999999999
705,1314.0249999999999
706,1459.0249999999999
707,1459.0249999999999
708,1314.0249999999999
709,1024.0249999999999
710,1024.0249999999999
711,1024.0249999999999
712,1169.0249999999999
713,1321.024
714,1466.024
715,1466.024
716,1566.024
717,1481.023
718,1626.023
719,1771.023
720,1771.023
721,1671.0259999999998
722,1721.0249999999999
723,2066.024
724,2016.0249999999999
725,1966.0249999999999
726,1830.0249999999999
727,1770.0259999999998
728,1770.0259999999998
729,1915.0259999999998
730,1915.0269999999998
731,1915.0269999999998
732,1915.0269999999998
733,1575.0279999999996
734,1480.0279999999998
735,1480.0279999999998
736,1625.0279999999996
737,1775.0269999999998
738,1690.0259999999996
739,1428.0249999999999
740,1428.0249999999999
741,1548.0239999999997
742,1693.0239999999997
743,1870.0249999999999
744,2024.023
745,1964.0239999999997
746,1964.0239999999997
747,1819.0239999999997
748,1879.024
749,2024.0239999999997
750,2024.0239999999997
751,2024.0239999999997
752,1974.0249999999999
753,2254.0250000000005
754,2254.0250000000005
755,2254.0250000000005
756,2109.025
757,2102.027
758,2111.027
759,2156.029
760,2256.0280000000002
761,2196.029
762,2196.029
763,1906.0289999999998
764,1761.0289999999998
765,1761.03
766,1906.0299999999997
767,1906.0299999999997
768,2056.029
769,1616.0299999999997
770,1616.0299999999997
771,1666.0299999999997
772,1961.0289999999998
773,2433.0290000000005
774,2478.0290000000005
775,2487.0280000000002
776,2487.0280000000002
777,2292.0280000000002
778,2292.0280000000002
779,2437.0280000000002
780,2437.0280000000002
781,2437.0280000000002
782,2737.027
783,2687.0289999999995
784,2687.0289999999995
785,2678.0299999999997
786,2633.0299999999997
787,2651.0290000000005
788,2451.0290000000005
789,2596.0290000000005
790,2596.0290000000005
791,2451.0290000000005
792,2501.0290000000005
793,2211.0290000000005
794,2066.0290000000005
795,2073.0280000000002
796,2218.0280000000002
797,2218.0280000000002
798,2118.029
799,2188.0280000000002
800,2238.027
