,0
0,150.01
1,450.00800000000004
2,600.0070000000001
3,950.004
4,950.004
5,950.004
6,950.004
7,950.004
8,950.004
9,950.004
10,950.004
11,950.004
12,900.005
13,755.005
14,755.005
15,465.005
16,610.005
17,660.005
18,660.005
19,660.005
20,660.005
21,515.005
22,515.005
23,515.005
24,370.006
25,370.007
26,130.006
27,130.006
28,130.006
29,420.006
30,427.00499999999994
31,427.00499999999994
32,377.0059999999999
33,522.006
34,522.006
35,567.006
36,717.005
37,717.005
38,717.005
39,427.005
40,427.005
41,427.005
42,427.005
43,282.006
44,275.007
45,275.007
46,565.007
47,565.007
48,574.006
49,574.006
50,424.007
51,574.006
52,429.006
53,429.006
54,420.00699999999995
55,420.00699999999995
56,275.00699999999995
57,275.00699999999995
58,275.00699999999995
59,565.007
60,565.007
61,565.0079999999999
62,565.0079999999999
63,710.0079999999999
64,565.0079999999999
65,565.0079999999999
66,565.0079999999999
67,565.0079999999999
68,565.0079999999999
69,275.008
70,275.008
71,270.009
72,115.01100000000001
73,265.01
74,565.008
75,565.008
76,710.008
77,710.008
78,710.008
79,710.008
80,660.009
81,660.009
82,710.008
83,710.008
84,710.0079999999999
85,710.0079999999999
86,710.0079999999999
87,565.008
88,565.008
89,415.01000000000005
90,565.009
91,615.008
92,615.008
93,622.0070000000001
94,527.006
95,527.006
96,672.006
97,622.0070000000001
98,631.006
99,486.006
100,391.005
101,391.005
102,391.005
103,391.005
104,681.005
105,681.005
106,681.005
107,826.005
108,826.005
109,826.005
110,826.005
111,776.006
112,631.006
113,622.0070000000001
114,477.007
115,477.007
116,427.008
117,282.008
118,277.009
119,427.008
120,572.008
121,572.008
122,622.0070000000001
123,472.008
124,622.0070000000001
125,622.0070000000001
126,622.008
127,622.008
128,622.008
129,622.008
130,477.008
131,477.008
132,622.009
133,617.01
134,622.009
135,622.009
136,622.009
137,572.01
138,572.01
139,572.01
140,572.01
141,572.01
142,436.009
143,429.01
144,429.01
145,429.01
146,479.009
147,479.009
148,479.009
149,334.009
150,479.009
151,429.01
152,479.009
153,479.009
154,624.009
155,769.009
156,719.01
157,719.01
158,719.01
159,719.01
160,574.01
161,574.01
162,719.01
163,719.01
164,574.01
165,438.009
166,488.008
167,488.008
168,488.008
169,488.008
170,488.008
171,488.008
172,343.008
173,343.008
174,343.008
175,343.008
176,343.008
177,343.008
178,343.008
