,0
0,555.025
1,865.021
2,1370.0159999999998
3,1377.0149999999999
4,1377.0149999999999
5,1377.0169999999998
6,1377.0169999999998
7,1327.0169999999998
8,1327.0179999999998
9,1286.0189999999998
10,1236.019
11,1245.018
12,1150.017
13,1159.017
14,1073.0149999999999
15,1473.013
16,1473.013
17,1328.013
18,1319.0139999999997
19,1174.014
20,1174.0139999999997
21,1174.0139999999997
22,1319.0139999999997
23,1364.016
24,1559.0149999999999
25,1559.0149999999999
26,1464.014
27,1464.014
28,1464.0149999999999
29,1473.014
30,1328.014
31,1419.014
32,1432.0139999999997
33,1292.0129999999997
34,1138.014
35,1138.014
36,1156.012
37,1106.013
38,1106.014
39,1301.013
40,1591.013
41,1650.012
42,1668.0109999999997
43,1641.0129999999997
44,1641.0129999999997
45,1641.0129999999997
46,1641.0129999999997
47,1591.0139999999997
48,1446.0139999999997
49,1301.014
50,1156.014
51,1156.014
52,1006.0149999999999
53,1296.0149999999999
54,1591.014
55,1491.0149999999999
56,1641.014
57,1741.013
58,1741.013
59,1782.014
60,1773.0149999999999
61,1773.0149999999999
62,1723.0149999999999
63,1578.0149999999999
64,1288.0149999999999
65,1297.014
66,1152.014
67,1102.0140000000001
68,1247.0140000000001
69,1383.0159999999998
70,1666.0169999999998
71,1657.0179999999998
72,1707.0179999999998
73,1707.0179999999998
74,1707.0179999999998
75,1402.0199999999998
76,1402.0209999999997
77,1552.0199999999998
78,1570.0199999999998
79,1520.021
80,1375.022
81,1375.022
82,1434.0199999999998
83,1579.0199999999998
84,2069.019
85,1638.0189999999998
86,1443.0199999999998
87,1443.0199999999998
88,1625.0189999999998
89,1480.019
90,1480.02
91,1480.02
92,1335.02
93,1335.0209999999997
94,1181.022
95,1285.0209999999997
96,1285.0209999999997
97,1230.022
98,1185.022
99,1180.0229999999997
100,1325.0229999999997
101,1475.0229999999997
102,1425.0249999999999
103,1475.024
104,1330.024
105,1525.0229999999997
106,1682.0229999999997
107,1627.024
108,1482.024
109,1637.023
110,1442.0229999999997
111,1442.0229999999997
112,1492.0229999999997
113,1424.024
114,1474.0239999999997
115,1474.0239999999997
116,1338.0229999999997
117,1202.0219999999997
118,1252.0229999999997
119,1302.0229999999997
120,1302.023
121,1302.023
122,1252.024
123,1252.024
124,1521.0249999999999
125,1371.0259999999998
126,1530.024
127,1280.0249999999999
128,1475.024
129,1620.024
130,1947.0249999999996
131,1965.0239999999997
132,1965.0239999999997
133,1965.0239999999997
134,1820.024
135,1675.024
136,1820.024
137,2110.024
138,2110.024
139,1815.0249999999999
140,1797.0259999999996
141,1752.0249999999996
142,1761.0249999999996
143,1761.0249999999996
144,1761.0249999999996
145,1861.0239999999997
146,1861.0239999999997
147,1589.0229999999997
148,1530.024
149,1530.024
150,1385.024
151,1385.024
152,1385.024
153,1385.024
154,1530.024
155,1530.024
156,1580.024
